| TIME    | POSITION | R1_START | R2_START | R1_DIFF | R2_DIFF | DH_MM |
| 104.439 | 0        | 127.174  | 194.043  | 0.0085  | 0.0236  | NaN   |
| 106.489 | 0        | 127.116  | 194.009  | 0.0085  | 0.0236  | NaN   |
| 108.319 | 0.18     | 127.098  | 194.053  | 0.006   | 0.0359  | NaN   |
| 110.369 | 0.18     | 127.069  | 194.064  | 0.006   | 0.0359  | NaN   |
| 112.149 | 0.36     | 127.085  | 194.218  | 0.011   | 0.0274  | NaN   |
| 114.199 | 0.36     | 127.102  | 194.264  | 0.011   | 0.0274  | NaN   |
| 116.049 | 0.54     | 127.119  | 194.434  | 0.0165  | 0.0656  | NaN   |
| 118.099 | 0.54     | 127.105  | 194.491  | 0.0165  | 0.0656  | NaN   |
| 119.919 | 0.72     | 127.137  | 194.646  | 0.0258  | 0.0886  | NaN   |
| 121.969 | 0.72     | 127.209  | 194.832  | 0.0258  | 0.0886  | NaN   |
| 123.809 | 0.9      | 127.238  | 195.041  | 0.0272  | 0.104   | NaN   |
| 125.859 | 0.9      | 127.255  | 195.187  | 0.0272  | 0.104   | NaN   |
| 127.679 | 1.08     | 127.312  | 195.408  | 0.0408  | 0.1303  | NaN   |
| 129.729 | 1.08     | 127.366  | 195.617  | 0.0408  | 0.1303  | NaN   |
| 131.579 | 1.26     | 127.428  | 195.878  | 0.0459  | 0.1553  | NaN   |
| 133.629 | 1.26     | 127.507  | 196.12   | 0.0459  | 0.1553  | NaN   |
| 135.489 | 1.44     | 127.61   | 196.378  | 0.0575  | 0.1626  | NaN   |
| 137.539 | 1.44     | 127.817  | 196.69   | 0.0575  | 0.1626  | NaN   |
| 139.389 | 1.62     | 128.019  | 197.048  | 0.0728  | 0.1877  | NaN   |
| 141.439 | 1.62     | 128.144  | 197.335  | 0.0728  | 0.1877  | NaN   |
| 143.284 | 1.8      | 128.296  | 197.812  | 0.0824  | 0.2236  | NaN   |
| 145.334 | 1.8      | 128.418  | 198.304  | 0.0824  | 0.2236  | NaN   |
| 147.189 | 1.98     | 128.665  | 199.093  | 0.0915  | 0.2479  | NaN   |
| 149.239 | 1.98     | 128.844  | 199.669  | 0.0915  | 0.2479  | NaN   |
| 151.049 | 2.16     | 129.074  | 200.386  | 0.1132  | 0.2838  | 0.09  |
| 153.099 | 2.16     | 129.257  | 200.928  | 0.1132  | 0.2838  | NaN   |
| 154.744 | 2.16     | 129.116  | 200.682  | 0.0985  | 0.2742  | NaN   |
| 156.794 | 2.16     | 129.158  | 201.097  | 0.0985  | 0.2742  | NaN   |
